id,source_drug_id,target_drug_id
1,DB00001,DB06605
2,DB00001,DB06695
3,DB00001,DB01254
4,DB00001,DB01609
5,DB00001,DB01586
6,DB00001,DB02123
7,DB00001,DB02659
8,DB00001,DB02691
9,DB00001,DB03619
10,DB00001,DB04348
11,DB00001,DB05990
12,DB00001,DB06777
13,DB00001,DB08833
14,DB00001,DB08834
15,DB00001,DB08857
16,DB00001,DB11622
17,DB00001,DB11789
18,DB00001,DB09075
19,DB00001,DB09053
20,DB00001,DB08935
21,DB00001,DB06228
22,DB00001,DB06206
23,DB00001,DB09070
24,DB00001,DB00932
25,DB00001,DB00013
26,DB00001,DB00163
27,DB00001,DB09030
28,DB00001,DB01381
29,DB00001,DB01181
30,DB00001,DB00468
31,DB00001,DB00908
32,DB00001,DB00675
33,DB00001,DB00539
34,DB00001,DB00806
35,DB00001,DB00686
36,DB00001,DB00583
37,DB00001,DB00255
38,DB00001,DB00269
39,DB00001,DB00286
40,DB00001,DB00783
41,DB00001,DB00977
42,DB00001,DB01357
43,DB00001,DB04573
44,DB00001,DB04574
45,DB00001,DB04575
46,DB00001,DB07931
47,DB00001,DB09317
48,DB00001,DB09318
49,DB00001,DB09369
50,DB00001,DB09381
51,DB00001,DB11478
52,DB00001,DB11674
53,DB00001,DB12487
54,DB00001,DB13143
55,DB00001,DB13386
56,DB00001,DB13418
57,DB00001,DB13952
58,DB00001,DB13953
59,DB00001,DB13954
60,DB00001,DB13956
61,DB00001,DB15334
62,DB00001,DB15335
63,DB00001,DB09211
64,DB00001,DB00159
65,DB00001,DB00244
66,DB00001,DB00328
67,DB00001,DB00461
68,DB00001,DB00465
69,DB00001,DB00469
70,DB00001,DB00482
71,DB00001,DB00500
72,DB00001,DB00533
73,DB00001,DB00554
74,DB00001,DB00573
75,DB00001,DB00580
76,DB00001,DB00586
77,DB00001,DB00605
78,DB00001,DB00712
79,DB00001,DB00749
80,DB00001,DB00784
81,DB00001,DB00788
82,DB00001,DB00795
83,DB00001,DB00812
84,DB00001,DB00814
85,DB00001,DB00821
86,DB00001,DB00861
87,DB00001,DB00936
88,DB00001,DB00939
89,DB00001,DB00991
90,DB00001,DB01009
91,DB00001,DB01014
92,DB00001,DB01250
93,DB00001,DB01283
94,DB00001,DB01397
95,DB00001,DB01399
96,DB00001,DB01401
97,DB00001,DB01419
98,DB00001,DB01424
99,DB00001,DB01435
100,DB00001,DB01600
101,DB00002,DB00012
102,DB00002,DB00016
103,DB00002,DB08894
104,DB00002,DB09107
105,DB00002,DB00255
106,DB00002,DB00269
107,DB00002,DB00286
108,DB00002,DB00655
109,DB00002,DB00783
110,DB00002,DB00890
111,DB00002,DB00977
112,DB00002,DB01357
113,DB00002,DB04573
114,DB00002,DB04574
115,DB00002,DB04575
116,DB00002,DB07931
117,DB00002,DB09070
118,DB00002,DB09317
119,DB00002,DB09318
120,DB00002,DB09369
121,DB00002,DB09381
122,DB00002,DB11478
123,DB00002,DB11674
124,DB00002,DB12487
125,DB00002,DB13143
126,DB00002,DB13386
127,DB00002,DB13418
128,DB00002,DB13952
129,DB00002,DB13953
130,DB00002,DB13954
131,DB00002,DB13956
132,DB00002,DB15334
133,DB00002,DB15335
134,DB00002,DB00028
135,DB00002,DB00043
136,DB00002,DB00051
137,DB00002,DB00054
138,DB00002,DB00056
139,DB00002,DB00057
140,DB00002,DB00065
141,DB00002,DB00072
142,DB00002,DB00073
143,DB00002,DB00074
144,DB00002,DB00075
145,DB00002,DB00076
146,DB00002,DB00078
147,DB00002,DB00081
148,DB00002,DB00087
149,DB00002,DB00089
150,DB00002,DB00095
151,DB00002,DB00098
152,DB00002,DB00108
153,DB00002,DB00110
154,DB00002,DB00111
155,DB00002,DB00112
156,DB00002,DB00113
157,DB00002,DB01257
158,DB00002,DB01269
159,DB00002,DB01270
160,DB00002,DB04901
161,DB00002,DB04949
162,DB00002,DB04956
163,DB00002,DB04958
164,DB00002,DB04962
165,DB00002,DB04964
166,DB00002,DB04988
167,DB00002,DB05006
168,DB00002,DB05097
169,DB00002,DB05101
170,DB00002,DB05111
171,DB00002,DB05136
172,DB00002,DB05139
173,DB00002,DB05209
174,DB00002,DB05304
175,DB00002,DB05336
176,DB00002,DB05405
177,DB00002,DB05437
178,DB00002,DB05459
179,DB00002,DB05496
180,DB00002,DB05545
181,DB00002,DB05550
182,DB00002,DB05555
183,DB00002,DB05578
184,DB00002,DB05595
185,DB00002,DB05656
186,DB00002,DB05679
187,DB00002,DB05773
188,DB00002,DB05793
189,DB00002,DB05797
190,DB00002,DB05889
191,DB00002,DB05892
192,DB00002,DB05915
193,DB00002,DB05916
194,DB00002,DB05941
195,DB00002,DB05996
196,DB00002,DB06043
197,DB00002,DB06049
198,DB00002,DB06050
199,DB00002,DB06081
200,DB00002,DB06101
201,DB00004,DB00012
202,DB00004,DB00016
203,DB00004,DB08894
204,DB00004,DB09107
205,DB00005,DB01281
206,DB00005,DB00026
207,DB00005,DB08879
208,DB00005,DB06168
209,DB00005,DB08904
210,DB00005,DB00531
211,DB00005,DB06643
212,DB00005,DB00065
213,DB00005,DB00008
214,DB00005,DB00011
215,DB00005,DB00018
216,DB00005,DB00022
217,DB00005,DB00033
218,DB00005,DB00034
219,DB00005,DB00041
220,DB00005,DB00051
221,DB00005,DB00056
222,DB00005,DB00059
223,DB00005,DB00068
224,DB00005,DB00069
225,DB00005,DB00073
226,DB00005,DB00074
227,DB00005,DB00075
228,DB00005,DB00078
229,DB00005,DB00081
230,DB00005,DB00087
231,DB00005,DB00092
232,DB00005,DB00095
233,DB00005,DB00098
234,DB00005,DB00105
235,DB00005,DB00111
236,DB00005,DB00112
237,DB00005,DB00120
238,DB00005,DB00242
239,DB00005,DB00276
240,DB00005,DB00290
241,DB00005,DB00291
242,DB00005,DB00293
243,DB00005,DB00305
244,DB00005,DB00322
245,DB00005,DB00352
246,DB00005,DB00380
247,DB00005,DB00428
248,DB00005,DB00432
249,DB00005,DB00441
250,DB00005,DB00445
251,DB00005,DB00446
252,DB00005,DB00480
253,DB00005,DB00488
254,DB00005,DB00515
255,DB00005,DB00526
256,DB00005,DB00550
257,DB00005,DB00552
258,DB00005,DB00601
259,DB00005,DB00631
260,DB00005,DB00763
261,DB00005,DB00853
262,DB00005,DB00859
263,DB00005,DB00888
264,DB00005,DB00928
265,DB00005,DB00958
266,DB00005,DB00970
267,DB00005,DB01005
268,DB00005,DB01024
269,DB00005,DB01030
270,DB00005,DB01033
271,DB00005,DB01042
272,DB00005,DB01073
273,DB00005,DB01099
274,DB00005,DB01168
275,DB00005,DB01169
276,DB00005,DB01204
277,DB00005,DB01206
278,DB00005,DB01257
279,DB00005,DB01262
280,DB00005,DB01280
281,DB00005,DB01423
282,DB00005,DB01816
283,DB00005,DB02546
284,DB00005,DB02806
285,DB00005,DB03523
286,DB00005,DB04956
287,DB00005,DB05258
288,DB00005,DB05259
289,DB00005,DB05260
290,DB00005,DB05459
291,DB00005,DB05472
292,DB00005,DB06612
293,DB00005,DB06662
294,DB00005,DB06674
295,DB00005,DB06681
296,DB00005,DB06813
297,DB00005,DB08059
298,DB00005,DB08871
299,DB00005,DB08880
300,DB00005,DB08889
301,DB00005,DB08908
302,DB00005,DB08935
303,DB00005,DB09029
304,DB00005,DB09036
305,DB00006,DB06605
306,DB00006,DB06695
307,DB00006,DB01254
308,DB00006,DB01609
309,DB00006,DB01586
310,DB00006,DB02123
311,DB00006,DB02659
312,DB00006,DB02691
313,DB00006,DB03619
314,DB00006,DB04348
315,DB00006,DB05990
316,DB00006,DB06777
317,DB00006,DB08833
318,DB00006,DB08834
319,DB00006,DB08857
320,DB00006,DB11622
321,DB00006,DB11789
322,DB00006,DB09075
323,DB00006,DB09053
324,DB00006,DB08935
325,DB00006,DB06228
326,DB00006,DB06206
327,DB00006,DB09070
328,DB00006,DB00932
329,DB00006,DB00013
330,DB00006,DB00163
331,DB00006,DB09030
332,DB00006,DB01381
333,DB00006,DB01181
334,DB00006,DB00468
335,DB00006,DB00908
336,DB00006,DB00675
337,DB00006,DB00539
338,DB00006,DB00806
339,DB00006,DB00686
340,DB00006,DB00583
341,DB00006,DB00255
342,DB00006,DB00269
343,DB00006,DB00286
344,DB00006,DB00783
345,DB00006,DB00977
346,DB00006,DB01357
347,DB00006,DB04573
348,DB00006,DB04574
349,DB00006,DB04575
350,DB00006,DB07931
351,DB00006,DB09317
352,DB00006,DB09318
353,DB00006,DB09369
354,DB00006,DB09381
355,DB00006,DB11478
356,DB00006,DB11674
357,DB00006,DB12487
358,DB00006,DB13143
359,DB00006,DB13386
360,DB00006,DB13418
361,DB00006,DB13952
362,DB00006,DB13953
363,DB00006,DB13954
364,DB00006,DB13956
365,DB00006,DB15334
366,DB00006,DB15335
367,DB00006,DB09211
368,DB00006,DB00159
369,DB00006,DB00244
370,DB00006,DB00328
371,DB00006,DB00461
372,DB00006,DB00465
373,DB00006,DB00469
374,DB00006,DB00482
375,DB00006,DB00500
376,DB00006,DB00533
377,DB00006,DB00554
378,DB00006,DB00573
379,DB00006,DB00580
380,DB00006,DB00586
381,DB00006,DB00605
382,DB00006,DB00712
383,DB00006,DB00749
384,DB00006,DB00784
385,DB00006,DB00788
386,DB00006,DB00795
387,DB00006,DB00812
388,DB00006,DB00814
389,DB00006,DB00821
390,DB00006,DB00861
391,DB00006,DB00936
392,DB00006,DB00939
393,DB00006,DB00991
394,DB00006,DB01009
395,DB00006,DB01014
396,DB00006,DB01250
397,DB00006,DB01283
398,DB00006,DB01397
399,DB00006,DB01399
400,DB00006,DB01401
401,DB00006,DB01419
402,DB00006,DB01424
403,DB00006,DB01435
404,DB00006,DB01600
405,DB00007,DB09066
406,DB00007,DB09083
407,DB00007,DB08894
408,DB00007,DB00012
409,DB00007,DB00016
410,DB00007,DB09107
411,DB00007,DB09277
412,DB00007,DB00089
413,DB00007,DB00030
414,DB00007,DB00046
415,DB00007,DB00047
416,DB00007,DB00071
417,DB00007,DB00197
418,DB00007,DB00222
419,DB00007,DB00284
420,DB00007,DB00359
421,DB00007,DB00412
422,DB00007,DB00414
423,DB00007,DB00491
424,DB00007,DB00672
425,DB00007,DB00731
426,DB00007,DB00839
427,DB00007,DB00912
428,DB00007,DB00914
429,DB00007,DB01016
430,DB00007,DB01067
431,DB00007,DB01120
432,DB00007,DB01124
433,DB00007,DB01132
434,DB00007,DB01251
435,DB00007,DB01252
436,DB00007,DB01261
437,DB00007,DB01276
438,DB00007,DB01277
439,DB00007,DB01278
440,DB00007,DB01289
441,DB00007,DB01306
442,DB00007,DB01307
