id,source_id,drug_id,name,url,type,n_reviews,manufacturer_id
1,2,DB08875,Cabometyx,https://www.webmd.com/drugs/2/drug-171648-1517/cabometyx/details,RX,5,NULL
2,2,DB00622,"Cardene capsule",https://www.webmd.com/drugs/2/drug-14061-5225/cardene-capsule/details,RX,0,NULL
3,2,DB00364,"Carafate Suspension, (Final Dose Form)",https://www.webmd.com/drugs/2/drug-14156-535/carafate-suspension-final-dose-form/details,RX,135,NULL
4,2,DB00364,Carafate,https://www.webmd.com/drugs/2/drug-14156-68/carafate/details,RX,135,NULL
5,2,DB00661,"Calan Solution",https://www.webmd.com/drugs/2/drug-53562/calan-solution/details,RX,0,NULL
6,2,DB00661,"Calan SR",https://www.webmd.com/drugs/2/drug-518-7010/calan-sr/details,RX,6,NULL
7,2,DB00661,Calan,https://www.webmd.com/drugs/2/drug-10482-1010/calan/details,RX,7,NULL
8,2,DB00258,Calphron,https://www.webmd.com/drugs/2/drug-13768-8139/calphron/details,,1,NULL
9,2,DB00244,"Canasa Suppository, Rectal",https://www.webmd.com/drugs/2/drug-20905-8146/canasa-suppository/details,RX,52,NULL
10,2,DB00544,"Carac Cream",https://www.webmd.com/drugs/2/drug-20406-5046/carac-cream/details,RX,115,NULL
11,2,DB00575,"CATAPRES-TTS 1 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-7456-9024/catapres-tts-1-patch-weekly/details,RX,12,NULL
12,2,DB00575,"CATAPRES-TTS 3 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-6715-9024/catapres-tts-3-patch-weekly/details,RX,8,NULL
13,2,DB00575,"Catapres-Tts 3 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-53588-9024/catapres-tts-3-patch-weekly/details,RX,0,NULL
14,2,DB00575,"Catapres-Tts 2 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-53587-9024/catapres-tts-2-patch-weekly/details,RX,0,NULL
15,2,DB00575,"CATAPRES-TTS 2 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-7115-9024/catapres-tts-2-patch-weekly/details,RX,16,NULL
16,2,DB00343,Cardizem,https://www.webmd.com/drugs/2/drug-6709-276/cardizem/details,RX,46,NULL
17,2,DB00343,"Cardizem SR Capsule, Extended Release 12 hr (Capsule, ER hr)",https://www.webmd.com/drugs/2/drug-3924-3225/cardizem-sr-capsule-12-hr-capsule-er-hr/details,RX,5,NULL
18,2,DB00343,"Cardizem LA",https://www.webmd.com/drugs/2/drug-74894-6276/cardizem-la/details,RX,16,NULL
19,2,DB00343,"Cardizem CD",https://www.webmd.com/drugs/2/drug-1494-2225/cardizem-cd/details,RX,69,NULL
20,2,DB00343,"Cardizem 100 mg intravenous powder for solution",https://www.webmd.com/drugs/2/drug-5214/cardizem-powder-for-solution/details,RX,8,NULL
21,2,DB00520,"Cancidas Vial",https://www.webmd.com/drugs/2/drug-20431-8326/cancidas-vial/details,RX,2,NULL
22,2,DB00590,"Cardura XL",https://www.webmd.com/drugs/2/drug-95349-651/cardura-xl/details,RX,7,NULL
23,2,DB00590,Cardura,https://www.webmd.com/drugs/2/drug-3710-8060/cardura/details,RX,56,NULL
24,2,DB00343,"Cartia XT",https://www.webmd.com/drugs/2/drug-17319-2225/cartia-xt/details,RX,80,NULL
25,2,DB01128,Casodex,https://www.webmd.com/drugs/2/drug-4510-9273/casodex/details,RX,53,NULL
26,2,DB00575,"CATAPRES-TTS 1 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-7456-9024/catapres-tts-1-patch-weekly/details,RX,12,NULL
27,2,DB00575,"CATAPRES-TTS 3 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-6715-9024/catapres-tts-3-patch-weekly/details,RX,8,NULL
28,2,DB00575,"Catapres-Tts 3 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-53588-9024/catapres-tts-3-patch-weekly/details,RX,0,NULL
29,2,DB00575,"Catapres-Tts 2 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-53587-9024/catapres-tts-2-patch-weekly/details,RX,0,NULL
30,2,DB00575,"CATAPRES-TTS 2 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-7115-9024/catapres-tts-2-patch-weekly/details,RX,16,NULL
31,2,DB00762,"Camptosar Vial",https://www.webmd.com/drugs/2/drug-13705-1136/camptosar-vial/details,RX,8,NULL
32,2,DB00355,"Cayston Vial for Nebulizer",https://www.webmd.com/drugs/2/drug-153705-1285/cayston-vial-for-nebulizer/details,RX,1,NULL
33,2,DB00770,"Caverject Vial",https://www.webmd.com/drugs/2/drug-3698-7205/caverject-vial/details,RX,23,NULL
34,2,DB00770,"Caverject Kit",https://www.webmd.com/drugs/2/drug-145718-7205/caverject-kit/details,RX,26,NULL
35,2,DB00564,Carbatrol,https://www.webmd.com/drugs/2/drug-5794-9005/carbatrol/details,RX,62,NULL
36,2,DB05294,Caprelsa,https://www.webmd.com/drugs/2/drug-156464-1410/caprelsa/details,RX,3,NULL
37,2,DB00586,"Cambia 50 mg oral powder packet",https://www.webmd.com/drugs/2/drug-154102-1332/cambia-50-mg-powder-packet/details,RX,52,NULL
38,2,DB01050,"Caldolor Vial",https://www.webmd.com/drugs/2/drug-152733-1213/caldolor-vial/details,RX,1,NULL
39,2,DB00575,"CATAPRES-TTS 1 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-7456-9024/catapres-tts-1-patch-weekly/details,RX,12,NULL
40,2,DB00575,"CATAPRES-TTS 3 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-6715-9024/catapres-tts-3-patch-weekly/details,RX,8,NULL
41,2,DB00575,"Catapres-Tts 3 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-53588-9024/catapres-tts-3-patch-weekly/details,RX,0,NULL
42,2,DB00575,"Catapres-Tts 2 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-53587-9024/catapres-tts-2-patch-weekly/details,RX,0,NULL
43,2,DB00575,"CATAPRES-TTS 2 Patch, Transdermal Weekly",https://www.webmd.com/drugs/2/drug-7115-9024/catapres-tts-2-patch-weekly/details,RX,16,NULL
44,2,DB01101,capecitabine,https://www.webmd.com/drugs/2/drug-7777-9272/capecitabine/details,RX,11,NULL
45,2,DB06589,Votrient,https://www.webmd.com/drugs/2/drug-153216-1237/votrient/details,RX,28,NULL
46,2,DB00586,"Voltaren Drops",https://www.webmd.com/drugs/2/drug-8571-186/voltaren-drops/details,RX,3,NULL
47,2,DB00586,"Voltaren Gel",https://www.webmd.com/drugs/2/drug-150270-1065/voltaren-gel/details,RX,125,NULL
48,2,DB00586,"Voltaren tablet, delayed release (enteric coated)",https://www.webmd.com/drugs/2/drug-54-4049/voltaren-tablet-delayed-release-enteric-coated/details,RX,259,NULL
49,2,DB00586,"Voltaren Arthritis Pain 1 % topical gel Non-Steroidal Anti-Inflammatory Agents (NSAID)",https://www.webmd.com/drugs/2/drug-179656-1065/voltaren-arthritis-pain-gel/details,OTC,0,NULL
50,2,DB00624,"Vogelxo Gel",https://www.webmd.com/drugs/2/drug-166386-3116/vogelxo-gel/details,RX,2,NULL
51,2,DB00244,Pentasa,https://www.webmd.com/drugs/2/drug-3332-6146/pentasa/details,RX,125,NULL
52,2,DB00860,Pediapred,https://www.webmd.com/drugs/2/drug-13558-2333/pediapred/details,RX,3,NULL
53,2,DB00620,"Pediaderm AF 100,000 unit/gram topical cream",https://www.webmd.com/drugs/2/drug-154747-612/pediaderm-af-cream/details,RX,1,NULL
54,2,DB00646,"Pediaderm AF 100,000 unit/gram topical cream",https://www.webmd.com/drugs/2/drug-154747-612/pediaderm-af-cream/details,RX,1,NULL
55,2,DB00878,"Periogard Mouthwash",https://www.webmd.com/drugs/2/drug-11775-156/periogard-mouthwash/details,RX,8,NULL
56,2,DB00008,"Pegasys Kit",https://www.webmd.com/drugs/2/drug-78577-440/pegasys-kit/details,RX,33,NULL
57,2,DB00008,"Pegasys ProClick Pen Injector",https://www.webmd.com/drugs/2/drug-157887-440/pegasys-proclick-pen-injector/details,RX,1,NULL
58,2,DB00008,"Pegasys Vial",https://www.webmd.com/drugs/2/drug-64273-440/pegasys-vial/details,RX,23,NULL
59,2,DB00927,"Pepcid AC Maximum Strength 20 mg tablet Peptic Ulcer Agents",https://www.webmd.com/drugs/2/drug-148366-2033/pepcid-ac/details,OTC,0,NULL
60,2,DB00927,"Pepcid AC",https://www.webmd.com/drugs/2/drug-16241-2033/pepcid-ac/details,OTC,19,NULL
61,2,DB00927,"Pepcid Complete",https://www.webmd.com/drugs/2/drug-20184-4250/pepcid-complete/details,OTC,22,NULL
62,2,DB00927,"Pepcid RPD Tablet,disintegrating",https://www.webmd.com/drugs/2/drug-16624/pepcid-rpd-tablet-disintegrating/details,RX,0,NULL
63,2,DB00927,"Pepcid Solution",https://www.webmd.com/drugs/2/drug-9654-3033/pepcid-solution/details,RX,1,NULL
64,2,DB00927,"Pepcid Suspension, (Final Dose Form)",https://www.webmd.com/drugs/2/drug-1821-1033/pepcid-suspension-final-dose-form/details,RX,26,NULL
65,2,DB00927,Pepcid,https://www.webmd.com/drugs/2/drug-1821-2033/pepcid/details,RX,26,NULL
66,2,DB00927,"Pepcid AC tablet Peptic Ulcer Agents",https://www.webmd.com/drugs/2/drug-16241-250/pepcid-ac-tablet-peptic-ulcer-agents/details,OTC,19,NULL
67,2,DB00927,"Pepcid in NaCl (iso-osm) (PF) Piggyback",https://www.webmd.com/drugs/2/drug-95323/pepcid-in-nacl-iso-osm-pf-piggyback/details,RX,0,NULL
68,2,DB00927,"Pepcid (PF) Solution",https://www.webmd.com/drugs/2/drug-161405-3033/pepcid-pf-solution/details,RX,0,NULL
69,2,DB00878,"Peridex Mouthwash",https://www.webmd.com/drugs/2/drug-6402-156/peridex-mouthwash/details,RX,18,NULL
70,2,DB00022,"PegIntron Kit",https://www.webmd.com/drugs/2/drug-20419-3327/pegintron-kit/details,RX,5,NULL
