id,source_id,condition_id,drug_id
1,2,22,DB08875
2,2,1,DB08875
3,2,2,DB00622
4,2,3,DB00364
5,2,4,DB00661
6,2,5,DB00661
7,2,6,DB00258
8,2,7,DB00244
9,2,407,DB00244
10,2,223,DB00244
11,2,31,DB00244
12,2,352,DB00544
13,2,8,DB00544
14,2,10,DB00575
15,2,9,DB00575
16,2,11,DB00343
17,2,14,DB00343
18,2,13,DB00343
19,2,12,DB00343
20,2,15,DB00520
21,2,16,DB00590
22,2,17,DB01128
23,2,18,DB00762
24,2,466,DB00355
25,2,19,DB00355
26,2,20,DB00770
27,2,21,DB00564
28,2,22,DB05294
29,2,23,DB00586
30,2,64,DB00586
31,2,28,DB00586
32,2,45,DB00586
33,2,27,DB00586
34,2,29,DB00586
35,2,142,DB01050
36,2,279,DB01050
37,2,24,DB01050
38,2,211,DB01050
39,2,100,DB01050
40,2,25,DB01101
41,2,26,DB06589
42,2,30,DB00624
43,2,214,DB00860
44,2,261,DB00860
45,2,32,DB00860
46,2,33,DB00620
47,2,261,DB00620
48,2,312,DB00620
49,2,56,DB00620
50,2,387,DB00620
51,2,146,DB00620
52,2,130,DB00620
53,2,33,DB00646
54,2,34,DB00878
55,2,35,DB00008
56,2,36,DB00927
57,2,3,DB00927
58,2,37,DB00022
59,2,329,DB00741
60,2,55,DB00741
61,2,89,DB00741
62,2,33,DB00741
63,2,328,DB00741
64,2,115,DB00741
65,2,7,DB00741
66,2,327,DB00741
67,2,57,DB00741
68,2,312,DB00741
69,2,102,DB00741
70,2,107,DB00741
71,2,56,DB00741
72,2,522,DB00741
73,2,177,DB00741
74,2,38,DB00715
75,2,116,DB00715
76,2,492,DB00715
77,2,39,DB00983
78,2,537,DB01053
79,2,40,DB01053
80,2,41,DB01017
81,2,319,DB01017
82,2,149,DB01017
83,2,61,DB01017
84,2,320,DB01017
85,2,42,DB00384
86,2,16,DB00706
87,2,43,DB00324
88,2,44,DB00324
89,2,60,DB00916
90,2,48,DB00916
91,2,46,DB00916
92,2,47,DB00916
93,2,49,DB00641
94,2,50,DB00924
95,2,51,DB01004
96,2,418,DB01004
97,2,419,DB01004
98,2,52,DB00380
99,2,275,DB00380
100,2,53,DB01048
101,2,54,DB00459
102,2,59,DB00959
103,2,214,DB00959
104,2,57,DB00959
105,2,56,DB00959
106,2,522,DB00959
107,2,58,DB00959
108,2,560,DB00602
109,2,534,DB00602
110,2,60,DB00602
111,2,35,DB08934
112,2,62,DB00082
113,2,63,DB00489
114,2,65,DB00982
115,2,50,DB00395
116,2,66,DB01257
117,2,67,DB00675
118,2,68,DB00962
119,2,69,DB00956
120,2,142,DB00425
121,2,70,DB00425
122,2,68,DB00425
123,2,71,DB01590
124,2,357,DB01590
125,2,72,DB00909
126,2,73,DB00315
127,2,74,DB00014
128,2,75,DB00787
129,2,306,DB00787
130,2,76,DB00787
131,2,38,DB01104
132,2,78,DB01190
133,2,77,DB01190
134,2,80,DB01190
135,2,79,DB01190
136,2,47,DB01190
137,2,60,DB01190
138,2,81,DB00363
139,2,82,DB01161
140,2,83,DB00967
141,2,84,DB00967
142,2,85,DB00967
143,2,83,DB00455
144,2,84,DB00455
145,2,88,DB00455
146,2,85,DB00455
147,2,86,DB01211
148,2,87,DB01211
149,2,89,DB00838
150,2,20,DB00820
151,2,156,DB00820
152,2,91,DB00537
153,2,92,DB00537
154,2,90,DB00537
155,2,203,DB00537
156,2,94,DB00537
157,2,44,DB00537
158,2,93,DB08904
159,2,29,DB08904
160,2,95,DB01188
161,2,96,DB01216
162,2,16,DB01216
163,2,97,DB00963
164,2,38,DB00472
165,2,98,DB00472
166,2,99,DB01115
167,2,2,DB01115
168,2,100,DB00745
169,2,101,DB00745
170,2,103,DB00912
171,2,121,DB01001
172,2,39,DB01001
173,2,104,DB06695
174,2,48,DB00338
175,2,105,DB01201
176,2,106,DB06643
177,2,505,DB06643
178,2,48,DB00213
179,2,108,DB00213
180,2,109,DB01119
181,2,110,DB00917
182,2,111,DB00396
183,2,244,DB00396
184,2,117,DB00396
185,2,90,DB00440
186,2,48,DB00448
187,2,112,DB00448
188,2,113,DB06210
189,2,114,DB00921
190,2,337,DB00921
191,2,221,DB00921
192,2,69,DB00921
193,2,116,DB06700
194,2,118,DB00211
195,2,119,DB01576
196,2,120,DB01432
197,2,49,DB00175
198,2,122,DB06283
199,2,123,DB00633
200,2,124,DB00847
201,2,422,DB00847
202,2,125,DB01069
203,2,231,DB01069
204,2,126,DB09302
205,2,127,DB01264
206,2,128,DB09401
207,2,127,DB06817
208,2,2,DB01023
209,2,129,DB00758
210,2,57,DB01611
211,2,130,DB00764
